value,key,remarks
가르니시아_NNG,가르시니아,칼로리컷
가성비_NNG,가성비,
간편식_NNG,간편식,
건강스타그램_NNG,건강스타그램,.+[다이어트스타]+그램
건크랜베리_NNG,건크랜베리,
검은콩_NNG,검은콩,
견과류_NNG,견과류,
견과류바_NNG,견과류바,
고구마죽_NNG,고구마죽,모닝죽
고농축_NNG,고농축,
고단백_NNG,고단백,
곤약밥_NNG,곤약밥,
곤약백미밥_NNG,곤약백미밥,
곤약젤리_NNG,곤약젤리,곤약젤리
곤약즉석밥_NNP,곤약즉석밥,
곤약현미밥_NNG,곤약현미밥,곤약.{0/ 3}밥
귀리우유_NNG,귀리우유,
귀차니즘_NNG,귀차니즘,
그래놀라_NNG,그래놀라,
그릭요거트_NNG,그릭요거트,
글루코난만_NNG,글루코난만,
까페라떼_NNG,까페라떼,카페라떼
꾸덕_VA,꾸덕,
꿀고구마_NNG,꿀고구마,모닝죽
넘흐_MAG,넘흐,
다이어터그램_NNG,다이어터그램,스타그램
다이어트_NNG,다욧트,
다이어트그램_NNG,다이어트그램,
다이어트보조제_NNG,다이어트보조제,
다이어트식단_NNG,다이어트식단,식단인증
다이어트칩_NNG,다이어트칩,
다이어트쿠키,다이어트쿠키,
다이어튼_NNG,다이어튼,
닥터너츠_NNG,닥터너츠,
단백질_NNG,단백질,
단호박죽_NNG,단호박죽,모닝죽
대만족_NNG,대만족,
대추천_NNG,대추천,
데일리스타그램_NNG,데일리 스타 그램,
딸기맛_NNG,딸기맛,
딸기맛_NNG,딸기맛,
떼샷_NNG,떼샷,
랩노쉬_NNG,랩노쉬,
레몬맛_NNG,레몬맛,
렌틸콩_NNG,렌틸콩,
로얄밀크티_NNG,로얄밀크티,밀스
말차라떼_NNG,말차라떼,
맘스타그램_NNG,맘스타그램,엄마
맛스타그램_NNG,맛스타그램,스타그램
맞팔_NNG,맞팔,소통
맞팔_NNG,맞팔,
먹스타그램_NNG,먹스타그램,
모닝귀리_NNG,모닝귀리,
모닝바게트_NNG,모닝바게트,
모닝죽_NNG,모닝죽,모닝죽
모닝죽고구마_NNG,모닝죽고구마,모닝죽
모닝죽귀리_NNG,모닝죽귀리,모닝죽
모닝죽단팥_NNG,모닝죽단팥,모닝죽
모닝채소_NNG,모닝채소,모닝채소
몸관리_NNG,몸관리,
미래지향_NNG,미래지향,미래
밀스드링크_NNG,밀스드링크,
밀스드링크딸기_NNG,밀스드링크딸기,밀스드링크딸기
밀스라이트_NNG,밀스라이트,밀스
밀스브레드_NNG,밀스브레드,밀스
밀스칩_NNG,밀스칩,칩
발아퀴노아_NNG,발아퀴노아,
버터치킨_NNG,버터치킨,버터치킨커리
버터치킨커리_NNG,버터치킨커리,버터치킨커리
베지밀_NNG,베지밀,
병아리콩_NNG,병아리콩,
보조식품_NNG,보조식품,
보틀_NNG,보틀,
뷰스타그램_NNG,뷰스타그램,
빅사이즈_NNG,빅사이즈,
빈스바_NNG,빈스바,
사과맛워터젤리_NNG,사과맛워터젤리,
샵인테이크_NNP,샵인테이크,
선팔_NNG,선팔,소통
설선물_NNG,설선물,
섭취법_NNG,섭취법,
세라미드_NNG,세라미드,
소이밀크퓨어100_NNG,소이밀크퓨어,
쇼핑백_NNG,쇼핑백,
슈퍼바_NNG,슈퍼바,
스윗그레인_NNG,스윗그레인,
스타벅스_NNG,스타벅스,
스프레드_NNG,스프레드,
식단인증_NNG,식단인증,식단인증
식단일지_NNG,식단일지,식단인증
식사대용_NNG,식사대용,식사대용
식이섬유_NNG,식이섬유,
식이섬유_NNG,고식이섬유,
식이조절_NNG,식이조절,
쏘쏘_VA,쏘쏘,
씨리얼_NNG,씨리얼,
아마씨_NNG,아마씨,
아침대용_NNG,아침대용,
알약제형_NNG,알약제형,칼로리컷
얼리버드_NNG,얼리버드,
에브리타임_NNG,에브리타임,
여자친구_NNG,여자친구,
완전_MAG,완전,
요거트_NNG,요거트,
요리스타그램_NNG,요리스타그램,
용기_NNG,용기,
우유죽_NNG,우유죽,
운동하는여자_NNG,운동하는여자,운동하는.+?
운동하는직장인_NNG,운동하는직자인,운동하는
운스타그램_NNG,운스타그램,스타그램
워킹맘_NNG,워킹맘,직장+엄마
유지어터_NNG,유지어터,
육아맘_NNG,육아맘,
육아맘일상_NNG,육아맘일상,엄마
율무차_NNG,율무차,
인테이크_NNG,인테이크,
잇클린_NNG,잇클린,
잇클린_NNG,잇클린,
재구매_NNG,재구매,
전자렌지_NNG,전자렌지,
정관장_NNG,정관장,
존맛_VA,존맛,
주부스타그램_NNG,주부스타그램,
주일치_NNG,주일치,
줌마_NNG,줌마,
직장인_NNG,직장인,직장.
초코라떼_NNG,초코라떼,
치킨커리_NNG,치킨커리,버터치킨커리
카카오닙스_NNG,카카오닙스,
카페다이어트_NNG,카페다이어트,
카페다이어트_NNG,카페다이어트,
카페라떼_NNG,카페 라떼,카페라떼
칼로리컷_NNG,칼로리컷,
칼로리컷츄어블_NNG,칼로리컷츄어블,칼로리컷
콜드부르_NNG,콜드부르,
콜드프레스_NNG,콜드프레스,
쿠킹_NNG,쿠킹,
클랜즈_NNG,클랜즈,
텐바이텐_NNG,텐바이텐,텐바이텐
텐텐쇼퍼_NNG,텐텐쇼퍼,텐바이텐
파워젤부스트_NNG,파워젤부스트,
팥톡스_NNG,팥톡스,
팥톡스_NNG,팥톡스,
프레시모닝_NNG,프레시모닝,
하루야채_NNG,하루야채,하루야채
한끼_NNG,한끼,한끼
할인가_NNG,할인가,
헬스타그램_NNG,헬스타그램,스타그램
홍삼스틱_NNG,홍삼스틱,
홍삼정진_NNG,홍삼정진,정관장
홍삼정환_NNG,홍삼정환,정관장
홍삼캔디_NNG,홍삼캔디,정관장
홍삼톤_NNG,홍삼톤,정관장
홍삼프로_NNG,홍삼프로,
홍이장군_NNG,홍이장군,정관장
화애락이너제틱_NNG,화애락이너제틱,정관장
화애락진_NNG,화애락진,정관장
후레이크_NNG,후레이크,
인테이크_NNG,인테이트,
모닝그래놀라_NNP,모닝그래놀라,
씨리얼_NNG,씨리얼,
푸드쉐이크_NNG,푸드쉐이크,
시리얼바_NNG,시리얼바,
홀넛츠바_NNP,홀넛츠바,
그래놀라바_NNP,그래놀라바,
씨드바_NNP,씨드바,
여행스타그램_NNG,여행스타그램,스타그램
신혼스타그램_NNG,신혼스타그램,스타그램
새댁스타그램_NNG,새댁스타그램,스타그램
부부스타그램_NNG,부부스타그램,스타그램
신혼스타그램_NNG,신혼스타그램,스타그램
결혼스타그램_NNG,결혼스타그램,스타그램
스타그램_NNG,스타그램,스타그램
건강기능식품_NNG,건강기능식품,
스타터키트_NNG,스타터키트,
플랫바_NNG,플랫바,
아로니아즙_NNG,아로니아즙,
양배추사과즙_NNG,양배추사과즙,
올데이워터_NNG,올데이워터,
다이어트쿠키_NNG,다이어트쿠키,
슈퍼스무디_NNG,슈퍼스무디,
하루견과_NNG,하루견과,
비타민젤리_NNG,비타민젤리,
여름식단패키지__NNG,여름식단패키지,
코코넛워터_NNG,코코넛워터,
오늘의힘_NNG,오늘의힘,
오늘의장_NNG,오늘의장,
오늘의간_NNG,오늘의간,
매니아세트_NNG,매니아세트,
랩노쉬플랫_NNG,랩노쉬플랫,
파워젤_NNG,파워젤,
디어워터_NNG,디어워터,
미식당_NNG,미식당,
홍삼구미_NNP,홍삼구미,
빈스바_NNP,빈스바,
검은콩_NNG,검은콩,
진세노사이드_NNG,진세노사이드,
홍삼젤리스틱_NNG,홍삼젤리스틱,
인증샷_NNG,인증샷,
아미노리커버_NNG,아미노리커버,
치아씨드_NNG,치아씨드,
머슬투_NNG,머슬투,
스트랩_NNG,스트랩,
보충제_NNG,보충제,
푸드파이터_NNG,푸드파이터,
별로_VA,별로,
부모님_NNG,엄빠,
파우치_NNG,파우치,
밀스소이_NNG,밀스소이,
줌마그램_NNG,줌마그램,
청포도맛_NNG,청포도맛,
발포비타민_NNG,발포비타민,
짐데이챌린지_NNG,짐데이챌린지,
켈프칩_NNG,켈프칩,
미래식사_NNG,미래식사,
비타민젤리_NNG,비타민젤리,부모님
밀스하프_NNG,밀스하프,
