,usr,dte,rte,cmt,itm,opt
0,hub*******,2018.07.11,100%,"간편하게 먹기 너무 좋아요
한번에 6박스 샀어요 ㅎ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
1,hub*******,2018.07.11,100%,"간편하게 먹기 너무 좋아요
한번에 6박스 샀어요 ㅎ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
2,hub*******,2018.07.11,100%,"간편하게 먹기 너무 좋아요
한번에 6박스 샀어요 ㅎ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
3,hea*******,2018.07.11,100%,"식사대용으로 구입했습니다
괜찮아요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
4,set*******,2018.07.11,100%,예상보다 든든하고 맛도 괜찮아서 마음에 들어요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
5,set*******,2018.07.11,100%,인스턴트죽 특유의 맛이 적어서 예상보다 맛있습니다. 든든하고요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
6,pra*******,2018.07.10,100%,"간단하게 먹기좋고출근할때 차안에서 먹어도 눈치보이지않고
냄새도 나지않아서 너무좋아요 다이어트라기보다
아침을 굶어서 항상위가 안좋았는데 모닝죽 알고난뒤 속쓰림은없어졌네요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
7,pra*******,2018.07.10,100%,"간단하게 먹기좋고출근할때 차안에서 먹어도 눈치보이지않고
냄새도 나지않아서 너무좋아요 다이어트라기보다
아침을 굶어서 항상위가 안좋았는데 모닝죽 알고난뒤 속쓰림은없어졌네요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
8,pra*******,2018.07.10,100%,"간단하게 먹기좋고출근할때 차안에서 먹어도 눈치보이지않고
냄새도 나지않아서 너무좋아요 다이어트라기보다
아침을 굶어서 항상위가 안좋았는데 모닝죽 알고난뒤 속쓰림은없어졌네요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
9,mj8*******,2018.07.10,100%,간편하게 들고다니며 먹을 수 있어 좋고 맛도 괜찮네요~~,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
10,yhm*******,2018.07.08,100%,"사진 가격대비 괜찮은거 같아요.
상품평으로 봤을때 단호박이 제일 괜찮대서 단호박으로만 두박스 구매했어요.



턱이 좀 안좋아서 되도록미면 알갱이 없는걸 원했는데
살짝 알맹이가 있기는 하지만 대체적으로 부드럽구요.
팩으로 들고다니며 먹기 편해요.

특유의 향이 있다고 하는데 저는 잘 모르겠어요.



양이 적다고 하시는 분들도 있는데
용량이 130g이라 참고하시고 구매하면 될듯

다이어트 중인 사람한텐 적당한거 같아요.
우유나 두유 또는 바나나, 삶은 계란, 토마토 등등 으로 조합해서 먹으면 좋을듯 해요.

전자렌지에 돌려서",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
11,wes*******,2018.07.06,100%,간편한 아침 모닝죽 1주일(130gx7,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
12,wes*******,2018.07.06,100%,"신세계몰  
간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩
 맛선택 :",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
13,wes*******,2018.07.06,100%,"간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩
 맛선택 : 귀리/ 수량 : 7개입",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
14,mil*******,2018.07.02,100%,두번째 구매입니다. 간편하게 먹어요...,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
15,rev*******,2018.07.01,100%,가볍게 식사하기 좋은 영양죽,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
16,smh*******,2018.07.01,80%,검은콩이 들어 있어 영양이 더 풍부한 것 같아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
17,smh*******,2018.07.01,80%,단호박의 부드러움이 살아 있어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
18,smh*******,2018.07.01,80%,단팥이 들어있어 먹기 편해요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
19,zin*******,2018.06.25,100%,먹기는 편해요 ㅎㅎ맛도 이정도면 괜찮아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
20,hub*******,2018.07.11,100%,"간편하게 먹기 너무 좋아요
한번에 6박스 샀어요 ㅎ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
21,hub*******,2018.07.11,100%,"간편하게 먹기 너무 좋아요
한번에 6박스 샀어요 ㅎ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
22,hub*******,2018.07.11,100%,"간편하게 먹기 너무 좋아요
한번에 6박스 샀어요 ㅎ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
23,hea*******,2018.07.11,100%,"식사대용으로 구입했습니다
괜찮아요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
24,set*******,2018.07.11,100%,예상보다 든든하고 맛도 괜찮아서 마음에 들어요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
25,set*******,2018.07.11,100%,인스턴트죽 특유의 맛이 적어서 예상보다 맛있습니다. 든든하고요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
26,pra*******,2018.07.10,100%,"간단하게 먹기좋고출근할때 차안에서 먹어도 눈치보이지않고
냄새도 나지않아서 너무좋아요 다이어트라기보다
아침을 굶어서 항상위가 안좋았는데 모닝죽 알고난뒤 속쓰림은없어졌네요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
27,pra*******,2018.07.10,100%,"간단하게 먹기좋고출근할때 차안에서 먹어도 눈치보이지않고
냄새도 나지않아서 너무좋아요 다이어트라기보다
아침을 굶어서 항상위가 안좋았는데 모닝죽 알고난뒤 속쓰림은없어졌네요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
28,pra*******,2018.07.10,100%,"간단하게 먹기좋고출근할때 차안에서 먹어도 눈치보이지않고
냄새도 나지않아서 너무좋아요 다이어트라기보다
아침을 굶어서 항상위가 안좋았는데 모닝죽 알고난뒤 속쓰림은없어졌네요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
29,mj8*******,2018.07.10,100%,간편하게 들고다니며 먹을 수 있어 좋고 맛도 괜찮네요~~,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
